transaction_date,item_code,item_name,quantity_sold,stock_level,unit_price,discount_applied,store_location,promotion_flag,holiday_flag,season,weather,sales,multiplier,festival_flag,festival_name,category,sales_normalized
2024-10-10,ITM7252,Coffee,62,126,4,24.8,Germany,0,0,Autumn,Hot,223.2,1.309,0,None,Beverages,1.24
2023-11-30,ITM5684,Juice,14,89,2,2.8,India,0,0,Winter,Cold,25.2,1.048,0,None,Beverages,0.14775725593667544
2023-08-20,ITM2731,Eggs,36,59,10,0.0,UK,0,1,Monsoon,Cloudy,360.0,1.498,0,None,Grocery,0.8480565371024735
2024-11-15,ITM5742,Juice,51,121,3,0.0,India,0,0,Winter,Sunny,153.0,1.085,0,None,Beverages,0.8970976253298153
2024-01-22,ITM5521,T-shirt,12,113,30,0.0,USA,0,0,Winter,Cold,360.0,1.111,0,None,Clothing,0.2891566265060241
2024-10-01,ITM7340,Soda,38,85,6,22.8,Germany,0,0,Autumn,Hot,205.2,1.045,0,None,Beverages,1.3153846153846154
2023-12-23,ITM1576,Juice,159,236,2,31.8,India,1,1,Winter,Rainy,286.2,1.259,0,None,Beverages,1.6781002638522426
2023-12-08,ITM6202,Headphones,3,99,1148,0.0,Japan,0,0,Winter,Rainy,3444.0,1.144,0,None,Electronics,1.2848349188584218
2024-02-16,ITM7363,Laptop,2,35,412,0.0,India,0,0,Winter,Cold,824.0,0.9,0,None,Electronics,0.3163147792706334
2022-04-16,ITM1439,Smartphone,1,16,782,0.0,Japan,0,1,Spring,Cold,782.0,1.358,0,None,Electronics,0.3120510774142059
2023-02-17,ITM3750,Smartphone,2,137,918,0.0,UK,0,0,Winter,Cold,1836.0,1.017,0,None,Electronics,0.7326416600159616
2024-03-26,ITM8487,Coffee,46,100,4,0.0,Japan,0,0,Spring,Rainy,184.0,0.959,0,None,Beverages,1.0222222222222221
2024-02-22,ITM6272,Jeans,4,91,85,0.0,USA,0,0,Winter,Rainy,340.0,1.397,0,None,Clothing,0.2744259251785786
2024-06-07,ITM6653,Coffee,98,193,4,39.2,USA,0,0,Summer,Cloudy,352.8,1.049,0,None,Beverages,1.96
2022-01-01,ITM4999,Soda,32,87,2,3.2,USA,0,1,Winter,Cold,60.8,0.913,0,None,Beverages,0.38974358974358975
2022-10-17,ITM7033,T-shirt,61,71,89,271.45,UK,1,0,Autumn,Sunny,5157.55,0.94,0,None,Clothing,4.142610441767069
2024-11-21,ITM1582,Shoes,7,67,68,71.4,India,0,0,Winter,Cold,404.6,1.184,0,None,Clothing,0.32264752791068585
2024-07-28,ITM10930,Laptop,13,140,1071,0.0,Japan,1,1,Monsoon,Rainy,13923.0,0.875,0,None,Electronics,5.344721689059501
2022-11-10,ITM8051,Laptop,5,52,749,0.0,USA,0,0,Winter,Cold,3745.0,1.488,0,None,Electronics,1.437619961612284
2024-05-16,ITM9158,T-shirt,15,71,80,0.0,USA,0,0,Summer,Sunny,1200.0,1.149,0,None,Clothing,0.963855421686747
2024-04-21,ITM10896,Laptop,1,99,706,35.3,India,0,1,Spring,Hot,670.7,1.085,0,None,Electronics,0.25746641074856047
2023-04-23,ITM3249,Laptop,8,151,1306,522.4,India,1,1,Spring,Sunny,9925.6,1.119,0,None,Electronics,3.81021113243762
2023-09-13,ITM5640,Soda,59,77,4,23.6,India,0,0,Autumn,Cold,212.4,1.291,0,None,Beverages,1.3615384615384616
2024-01-31,ITM10485,Milk,96,223,2,0.0,India,1,0,Winter,Rainy,192.0,1.314,0,None,Beverages,1.1851851851851851
2024-01-16,ITM5947,Smartphone,5,67,1036,518.0,USA,0,0,Winter,Hot,4662.0,1.041,0,None,Electronics,1.8603351955307263
2024-07-17,ITM10920,Coffee,72,206,4,0.0,UK,1,0,Monsoon,Hot,288.0,1.266,0,None,Beverages,1.6
2024-06-18,ITM2963,Headphones,3,125,1271,0.0,Germany,0,0,Summer,Hot,3813.0,1.397,0,None,Electronics,1.4224958030218242
2023-01-06,ITM9243,Shoes,51,73,107,0.0,Japan,1,0,Winter,Hot,5457.0,1.013,0,None,Clothing,4.351674641148326
2023-01-08,ITM7590,Smartphone,6,52,1151,0.0,Japan,0,1,Winter,Sunny,6906.0,1.132,0,None,Electronics,2.755786113328013
2024-11-15,ITM9847,Coffee,32,59,1,0.0,India,0,0,Winter,Cloudy,32.0,1.128,0,None,Beverages,0.17777777777777778
2022-05-23,ITM1321,Shoes,14,93,76,0.0,India,0,0,Summer,Hot,1064.0,0.886,0,None,Clothing,0.8484848484848485
2022-08-19,ITM3678,Soda,73,141,7,0.0,USA,1,0,Monsoon,Sunny,511.0,0.978,0,None,Beverages,3.2756410256410255
2023-03-07,ITM5625,Rice,58,116,6,0.0,Japan,0,0,Spring,Sunny,348.0,1.484,0,None,Grocery,1.0160583941605839
2023-10-18,ITM5949,Jeans,35,49,55,96.25,UK,0,0,Autumn,Cloudy,1828.75,1.253,0,None,Clothing,1.4760482666774284
2024-05-21,ITM9328,Headphones,2,50,890,267.0,Germany,0,0,Summer,Rainy,1513.0,1.117,0,None,Electronics,0.5644469315426226
2022-07-28,ITM4337,Soda,31,79,1,0.0,India,0,0,Monsoon,Hot,31.0,1.203,0,None,Beverages,0.1987179487179487
2022-03-28,ITM6589,Laptop,1,135,520,52.0,India,1,0,Spring,Hot,468.0,1.184,0,None,Electronics,0.17965451055662188
2024-09-18,ITM1251,Smartphone,6,41,473,0.0,UK,0,0,Autumn,Cold,2838.0,0.957,0,None,Electronics,1.1324820430965683
2023-02-13,ITM4973,Smartphone,4,50,731,146.2,Germany,0,0,Winter,Cloudy,2777.8,0.87,0,None,Electronics,1.1084596967278533
2022-03-27,ITM7630,Jeans,26,163,88,0.0,USA,0,1,Spring,Cold,2288.0,0.994,0,None,Clothing,1.8467250494370233
2023-12-25,ITM6547,Rice,43,103,15,0.0,Japan,0,0,Winter,Cloudy,645.0,1.247,1,Christmas,Grocery,1.8832116788321167
2023-06-23,ITM1035,Headphones,5,143,1090,0.0,Japan,0,0,Summer,Cold,5450.0,0.963,0,None,Electronics,2.0332027606789778
2024-06-07,ITM9362,Headphones,4,59,499,0.0,Germany,0,0,Summer,Cloudy,1996.0,0.977,0,None,Electronics,0.7446371945532549
2024-03-08,ITM2513,Eggs,26,92,18,0.0,UK,0,0,Spring,Sunny,468.0,1.345,0,None,Grocery,1.1024734982332156
2023-05-12,ITM10317,Juice,63,141,5,15.75,UK,1,0,Summer,Sunny,299.25,1.006,0,None,Beverages,1.754617414248021
2022-04-07,ITM1039,T-shirt,7,112,71,0.0,USA,0,0,Spring,Rainy,497.0,1.407,0,None,Clothing,0.39919678714859436
2024-11-20,ITM5819,T-shirt,21,62,24,50.4,UK,1,0,Winter,Rainy,453.6,1.084,0,None,Clothing,0.3643373493975904
2022-09-01,ITM4465,Coffee,77,141,5,0.0,Germany,0,0,Autumn,Hot,385.0,0.96,0,None,Beverages,2.138888888888889
2024-10-04,ITM2760,Coffee,14,92,2,2.8,UK,0,0,Autumn,Cloudy,25.2,1.084,0,None,Beverages,0.13999999999999999
2023-07-07,ITM3304,T-shirt,12,76,85,0.0,Germany,1,0,Monsoon,Cloudy,1020.0,1.267,0,None,Clothing,0.8192771084337349
2022-01-30,ITM4723,Laptop,3,136,793,0.0,Japan,0,1,Winter,Hot,2379.0,1.313,0,None,Electronics,0.9132437619961612
2022-12-19,ITM9284,Milk,69,206,4,0.0,UK,0,0,Winter,Cold,276.0,0.991,0,None,Beverages,1.7037037037037037
2022-02-26,ITM5993,Eggs,86,186,14,0.0,India,1,1,Winter,Cold,1204.0,1.365,0,None,Grocery,2.8362779740871615
2022-10-11,ITM9127,Shoes,14,76,45,0.0,India,0,0,Autumn,Cold,630.0,1.165,0,None,Clothing,0.5023923444976076
2024-02-14,ITM4032,Headphones,4,56,618,0.0,UK,0,0,Winter,Cloudy,2472.0,1.22,0,None,Electronics,0.9222160044767768
2023-12-10,ITM8938,Jeans,7,64,97,0.0,Japan,0,1,Winter,Sunny,679.0,0.981,0,None,Clothing,0.5480447152831026
2024-09-28,ITM4039,T-shirt,8,56,91,0.0,USA,0,1,Autumn,Sunny,728.0,1.181,0,None,Clothing,0.5847389558232932
2024-06-27,ITM10655,Milk,50,154,6,15.0,Japan,0,0,Summer,Sunny,285.0,1.248,0,None,Beverages,1.7592592592592593
2022-07-20,ITM3545,Smartphone,1,47,1015,0.0,India,1,0,Monsoon,Sunny,1015.0,1.107,0,None,Electronics,0.40502793296089384
2022-09-08,ITM3592,Smartphone,2,83,311,0.0,India,0,0,Autumn,Cloudy,622.0,0.912,0,None,Electronics,0.24820430965682364
2024-09-24,ITM2188,Juice,71,217,4,0.0,UK,0,0,Autumn,Rainy,284.0,1.303,0,None,Beverages,1.665200820873644
2023-10-13,ITM8966,T-shirt,24,134,81,0.0,USA,0,0,Autumn,Rainy,1944.0,0.939,0,None,Clothing,1.5614457831325301
2022-04-05,ITM7077,Headphones,11,155,391,0.0,India,1,0,Spring,Sunny,4301.0,1.02,0,None,Electronics,1.604551389666107
2023-05-16,ITM1107,Shoes,20,142,30,0.0,Japan,0,0,Summer,Cloudy,600.0,1.319,0,None,Clothing,0.4784688995215311
2024-11-04,ITM2315,Shoes,24,118,36,86.4,India,0,0,Winter,Rainy,777.6,1.029,0,None,Clothing,0.6200956937799044
2023-03-25,ITM9187,Headphones,1,94,556,55.6,India,1,1,Spring,Cold,500.4,1.459,0,None,Electronics,0.18668158925573586
2024-05-01,ITM3753,Coffee,58,156,6,0.0,India,0,0,Summer,Cold,348.0,0.893,0,None,Beverages,1.9333333333333333
2024-05-02,ITM10753,Coffee,155,259,5,0.0,Japan,1,0,Summer,Rainy,775.0,0.955,0,None,Beverages,4.305555555555555
2022-03-22,ITM7231,Juice,58,119,7,0.0,UK,0,0,Spring,Rainy,406.0,1.184,0,None,Beverages,2.38053356786866
2022-04-19,ITM3876,Headphones,4,36,1296,0.0,UK,0,0,Spring,Cold,5184.0,1.458,0,None,Electronics,1.9339675433687744
2024-01-10,ITM6323,Smartphone,6,94,535,160.5,Germany,0,0,Winter,Sunny,3049.5,1.343,0,None,Electronics,1.2168794892258579
2022-04-01,ITM1799,Smartphone,5,38,1081,0.0,India,0,0,Spring,Hot,5405.0,1.357,0,None,Electronics,2.1568236233040703
2023-11-11,ITM4570,Smartphone,3,46,703,0.0,India,0,1,Winter,Rainy,2109.0,1.057,0,None,Electronics,0.8415802075019952
2022-07-22,ITM3894,Shoes,11,65,39,0.0,Japan,0,0,Monsoon,Rainy,429.0,0.872,0,None,Clothing,0.34210526315789475
2022-01-05,ITM3927,Coffee,27,115,7,0.0,UK,0,0,Winter,Sunny,189.0,0.981,0,None,Beverages,1.05
2023-06-04,ITM9178,Smartphone,8,99,1039,0.0,USA,0,1,Summer,Hot,8312.0,0.907,0,None,Electronics,3.3168395849960097
2023-09-02,ITM1971,Milk,48,127,7,0.0,USA,0,1,Autumn,Rainy,336.0,0.933,0,None,Beverages,2.074074074074074
2023-05-30,ITM7687,Headphones,2,136,574,0.0,UK,0,0,Summer,Cold,1148.0,1.441,0,None,Electronics,0.42827830628614066
2023-02-01,ITM9575,Laptop,1,24,979,48.95,India,1,0,Winter,Hot,930.05,1.219,0,None,Electronics,0.35702495201535506
2023-08-12,ITM3020,Rice,12,61,4,0.0,UK,0,1,Monsoon,Cold,48.0,1.26,0,None,Grocery,0.14014598540145987
2023-11-17,ITM10054,Rice,48,77,21,151.2,India,0,0,Winter,Cold,856.8,1.5,0,None,Grocery,2.501605839416058
2022-02-16,ITM1952,Smartphone,2,12,431,0.0,Germany,0,0,Winter,Sunny,862.0,1.317,0,None,Electronics,0.34397446129289705
